city,lat,lng,country,date,maxtemp,humidity,cloudiness,windspeed
lata,30.78,78.62,IN,1544331701,48.76,65,0,2.01
kayes,14.44,-11.44,ML,1544331702,58.21,52,0,6.64
stonewall,50.13,-97.33,CA,1544328000,10.4,85,5,9.17
taoudenni,22.68,-3.98,ML,1544331703,51.82,54,0,12.3
lianzhou,24.79,112.38,CN,1544331703,37.73,97,100,2.91
soyo,-6.13,12.37,AO,1544331703,73.87,99,92,4.14
challapata,-18.9,-66.78,BO,1544331704,37.06,96,88,2.8
hay river,60.82,-115.79,CA,1544328000,28.4,74,20,12.75
udachnyy,66.42,112.4,RU,1544331704,-24.96,36,0,2.39
luganville,-15.51,167.18,VU,1544331704,80.17,100,92,18.61
antalaha,-14.9,50.28,MG,1544331705,80.62,83,56,7.31
